properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon.tower_of_hera",
  music = "same",
}

tile{
  layer = 1,
  x = 88,
  y = 56,
  width = 48,
  height = 152,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 88,
  y = 56,
  width = 16,
  height = 16,
  pattern = "chasm_wall_inner_corner.nw",
}

tile{
  layer = 1,
  x = 88,
  y = 192,
  width = 16,
  height = 16,
  pattern = "chasm_wall_inner_corner.sw",
}

tile{
  layer = 1,
  x = 104,
  y = 192,
  width = 32,
  height = 16,
  pattern = "chasm_wall.s",
}

tile{
  layer = 1,
  x = 16,
  y = 152,
  width = 16,
  height = 32,
  pattern = "wall_torch.w",
}

tile{
  layer = 1,
  x = 16,
  y = 56,
  width = 16,
  height = 32,
  pattern = "wall_torch.w",
}

tile{
  layer = 1,
  x = 184,
  y = 32,
  width = 48,
  height = 72,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 136,
  y = 56,
  width = 96,
  height = 48,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 104,
  y = 56,
  width = 80,
  height = 16,
  pattern = "chasm_wall.n",
}

tile{
  layer = 1,
  x = 184,
  y = 56,
  width = 16,
  height = 16,
  pattern = "chasm_wall_outer_corner.nw",
}

tile{
  layer = 1,
  x = 184,
  y = 48,
  width = 16,
  height = 8,
  pattern = "chasm_wall.w",
}

tile{
  layer = 1,
  x = 184,
  y = 32,
  width = 16,
  height = 16,
  pattern = "chasm_wall_inner_corner.nw",
}

tile{
  layer = 1,
  x = 200,
  y = 32,
  width = 32,
  height = 16,
  pattern = "chasm_wall.n",
}

tile{
  layer = 1,
  x = 96,
  y = 16,
  width = 32,
  height = 16,
  pattern = "wall_torch.n",
}

tile{
  layer = 1,
  x = 192,
  y = 16,
  width = 32,
  height = 16,
  pattern = "wall_torch.n",
}

tile{
  layer = 1,
  x = 88,
  y = 72,
  width = 16,
  height = 120,
  pattern = "chasm_wall.w",
}

tile{
  layer = 1,
  x = 128,
  y = 96,
  width = 8,
  height = 8,
  pattern = "hole_border_outer_corner.se",
}

tile{
  layer = 1,
  x = 224,
  y = 96,
  width = 8,
  height = 8,
  pattern = "hole_border_inner_corner.se",
}

tile{
  layer = 1,
  x = 224,
  y = 32,
  width = 8,
  height = 64,
  pattern = "hole_border.e",
}

tile{
  layer = 1,
  x = 128,
  y = 104,
  width = 8,
  height = 104,
  pattern = "hole_border.e",
}

tile{
  layer = 1,
  x = 136,
  y = 96,
  width = 88,
  height = 8,
  pattern = "hole_border.s",
}

dynamic_tile{
  layer = 1,
  x = 56,
  y = 152,
  width = 16,
  height = 16,
  name = "treasure_open_chest",
  pattern = "placeholder.treasure_block",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 248,
  y = 40,
  width = 16,
  height = 16,
  name = "treasure_obstacle_chest",
  pattern = "placeholder.treasure_obstacle",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 48,
  y = 72,
  width = 32,
  height = 32,
  name = "enemy_1",
  pattern = "placeholder.enemy",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 248,
  y = 64,
  width = 32,
  height = 32,
  name = "enemy_2",
  pattern = "placeholder.enemy",
  enabled_at_start = true,
}


